car_122|tid_2203|FI Järvenperä UAS	car_122	Felsenantreiber Racing Team - Järvenperä Yliopisto
car_119|tid_807|GR Petrókastro TH	car_119	Sonnwend Motorsport e.V. - Pánepistimo Petrókastro
car_114|tid_883|HU Fenyveshegy HS	car_114	Kettenwerk Motorsport e.V. - Fenyveshegy Műszaki Egyetem
car_113|tid_611|EE Metsaküla IT	car_113	Düsenjäger Motorsport e.V. - Metsaküla Tehnikaülikool
car_111|tid_1577|GB Ashcombe Vale U	car_111	Grauwolf Formula Student - University of Ashcombe Vale
car_102|tid_2631|NO Fjordheim TU	car_102	Hochsinn Formula Student - Fjordheim Universitet
car_101|tid_797|DK Birkholm UAS	car_101	Tiefsee Formula Student - Birkholm Universitet
car_100|tid_2639|IE Dunshall TH	car_100	Blitzanker Renngemeinschaft - University of Dunshall
car_099|tid_617|DE Steinlicht HS	car_099	Nordlicht Renngemeinschaft - Hochschule Steinlicht
car_098|tid_977|AT Daxstein IT	car_098	Bergkamm Renngemeinschaft - Technische Hochschule Daxstein
car_097|tid_755|CH Birchwald U	car_097	Sturmvogel Race Engineering - Universität Birchwald
car_095|tid_1395|IT Vallecorsa TU	car_095	Eisenwurf Race Engineering - Università degli Studi di Vallecorsa
car_094|tid_945|FR Beaulieu-sur-Onde UAS	car_094	Silberlauf Race Engineering - École Supérieure de Beaulieu-sur-Onde
car_092|tid_681|ES Rioseco Alto TH	car_092	Donnerroll Racing Team - Universidad de Rioseco Alto
car_090|tid_2283|PT Serra Branca HS	car_090	Windfang Racing Team - Instituto Superior de Serra Branca
car_085|tid_671|NL Oostmolen IT	car_085	Steinadler Racing Team - Technische Universiteit Oostmolen
car_084|tid_2061|BE Groenveld U	car_084	Feuerrad Motorsport e.V. - Universiteit Groenveld
car_078|tid_929|PL Nowy Brzeg TU	car_078	Nebelkraft Motorsport e.V. - Politechnika Nowy Brzeg
car_077|tid_969|CZ Skalná UAS	car_077	Gletscherblitz Motorsport e.V. - Vysoké učení technické v Skalná
car_076|tid_609|SE Sjövik TH	car_076	Moorgeist Formula Student - Sjövik Tekniska Högskola
car_073|tid_1335|FI Järvenperä HS	car_073	Felsenantreiber Formula Student - Järvenperä Yliopisto
car_070|tid_2921|GR Petrókastro IT	car_070	Sonnwend Formula Student - Pánepistimo Petrókastro
car_069|tid_2673|HU Fenyveshegy U	car_069	Kettenwerk Renngemeinschaft - Fenyveshegy Műszaki Egyetem
car_068|tid_2563|EE Metsaküla TU	car_068	Düsenjäger Renngemeinschaft - Metsaküla Tehnikaülikool
car_067|tid_1873|GB Ashcombe Vale UAS	car_067	Grauwolf Renngemeinschaft - University of Ashcombe Vale
car_064|tid_971|NO Fjordheim TH	car_064	Hochsinn Race Engineering - Fjordheim Universitet
car_063|tid_1323|DK Birkholm HS	car_063	Tiefsee Race Engineering - Birkholm Universitet
car_062|tid_749|IE Dunshall IT	car_062	Blitzanker Race Engineering - University of Dunshall
car_059|tid_819|DE Wolkenfeld U	car_059	Nordlicht Racing Team - Hochschule Wolkenfeld
car_051|tid_2685|AT Daxstein TU	car_051	Bergkamm Racing Team - Technische Hochschule Daxstein
car_050|tid_741|CH Birchwald UAS	car_050	Sturmvogel Racing Team - Universität Birchwald
car_048|tid_925|IT Pietralunga Alta TH	car_048	Eisenwurf Motorsport e.V. - Università degli Studi di Pietralunga Alta
car_047|tid_2609|FR Beaulieu-sur-Onde HS	car_047	Silberlauf Motorsport e.V. - École Supérieure de Beaulieu-sur-Onde
car_046|tid_2199|ES Rioseco Alto IT	car_046	Donnerroll Motorsport e.V. - Universidad de Rioseco Alto
car_044|tid_2395|PT Serra Branca U	car_044	Windfang Formula Student - Instituto Superior de Serra Branca
car_043|tid_1843|NL Oostmolen TU	car_043	Steinadler Formula Student - Technische Universiteit Oostmolen
car_042|tid_889|BE Groenveld UAS	car_042	Feuerrad Formula Student - Universiteit Groenveld
car_039|tid_2539|PL Nowy Brzeg TH	car_039	Nebelkraft Renngemeinschaft - Politechnika Nowy Brzeg
car_033|tid_597|CZ Skalná HS	car_033	Gletscherblitz Renngemeinschaft - Vysoké učení technické v Skalná
car_032|tid_1617|SE Sjövik IT	car_032	Moorgeist Renngemeinschaft - Sjövik Tekniska Högskola
car_031|tid_773|FI Järvenperä U	car_031	Felsenantreiber Race Engineering - Järvenperä Yliopisto
car_029|tid_601|GR Petrókastro TU	car_029	Sonnwend Race Engineering - Pánepistimo Petrókastro
car_026|tid_549|HU Fenyveshegy UAS	car_026	Kettenwerk Race Engineering - Fenyveshegy Műszaki Egyetem
car_023|tid_1123|EE Metsaküla TH	car_023	Düsenjäger Racing Team - Metsaküla Tehnikaülikool
car_017|tid_2611|GB Ashcombe Vale HS	car_017	Grauwolf Racing Team - University of Ashcombe Vale
car_016|tid_1909|NO Fjordheim IT	car_016	Hochsinn Racing Team - Fjordheim Universitet
car_014|tid_891|DK Birkholm U	car_014	Tiefsee Motorsport e.V. - Birkholm Universitet
car_013|tid_2757|IE Dunshall TU	car_013	Blitzanker Motorsport e.V. - University of Dunshall
